input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:original_blocks,counter:selected_blocks,counter:issued_output_bytes,counter:left_metadata_bytes,counter:right_metadata_bytes,counter:raw_allocation_bytes,counter:metadata_bytes,counter:readable_suffix_bytes,counter:predicted_allocation_bytes,counter:actual_allocation_bytes,counter:body_mae_bytes,counter:wrong_byte_choice_fraction,counter:storage_regret_bytes,counter:max_storage_regret_bytes,counter:output_body_bytes
zen5,algebra/census-income/direct_direct/intersection/complete/grain1/all,1,5,"[4967.450284089979,4974.360795455142,4982.990056821214,4959.673295451045,4963.899147725215]",4967.450284089979,"[4967.507102549007,4974.418323720122,4991.257812553778,4962.6924717539505,4963.963778369486]",4967.507102549007,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/complete/grain1/masked25,1,5,"[1471.508602601062,1474.2698279476278,1468.6571548472477,1470.801510701226,1474.8657154844518]",1471.508602601062,"[1471.5255979901651,1474.2847251588958,1468.6739404219961,1471.9557281094058,1474.8848090379724]",1471.9557281094058,,,256.0,75.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/complete/grain1/sparse17,1,5,"[478.5700489755299,481.0484927916845,477.70573222038445,478.565220390396,480.99399875833853]",478.5700489755299,"[480.4698213251728,481.1754155897859,477.82782645197693,478.5706697851043,481.1298889400345]",480.4698213251728,,,256.0,16.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/complete/grain2/all,1,5,"[5882.779177156759,5878.782535682419,5881.494542403116,5878.186397987375,5890.570948783586]",5881.494542403116,"[5882.84718710372,5878.858102487028,5881.56255256485,5878.261964982895,5898.489504388262]",5881.56255256485,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/complete/grain2/masked25,1,5,"[1794.3195266272148,1798.363776691631,1795.7499356844028,1799.032673011378,1801.1757139169608]",1798.363776691631,"[1794.3401080322456,1798.3869307969683,1795.7730898208163,1806.5039876840508,1801.1988680021905]",1798.3869307969683,,,256.0,75.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/complete/grain2/sparse17,1,5,"[613.9378102951888,615.2922219318519,611.4780942426756,614.9891124469104,612.5424614582594]",613.9378102951888,"[613.9448654127044,615.2992770642209,611.4860203843356,614.9961675761849,612.5503875924927]",613.9448654127044,,,256.0,16.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/selected/grain1/all,1,5,"[5127.390350876536,5124.2470760223605,5137.865497074681,5156.769005847293,5162.8435672495925]",5137.865497074681,"[5133.114766136735,5124.306286680829,5290.1776317220965,5492.651315794398,5564.113303944662]",5290.1776317220965,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/selected/grain1/masked25,1,5,"[1485.6757331063286,1487.8686782844702,1488.1087972802247,1488.125796855132,1485.9201019976972]",1487.8686782844702,"[1485.692732667647,1490.8119421632991,1488.1281342312102,1488.1430089919336,1485.937314075614]",1488.1281342312102,,,256.0,75.0,2400.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/selected/grain1/sparse17,1,5,"[454.2095300262644,454.2323759793021,453.2610966058075,453.4477806785916,454.2049608357496]",454.2049608357496,"[456.35117491867624,454.23825065991065,453.26631852351284,453.4530026111386,454.21083550940114]",454.21083550940114,,,256.0,16.0,512.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/selected/grain2/all,1,5,"[6120.2601908096185,6141.162185603562,6124.631396352277,6126.48742411163,6117.450130093939]",6124.631396352277,"[6120.33044216374,6146.28967891295,6139.480485732944,6126.566348807646,6117.521248883317]",6126.566348807646,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/selected/grain2/masked25,1,5,"[1795.2442491591867,1799.459808735166,1802.401137244773,1797.6712328765402,1795.929180665776]",1797.6712328765402,"[1795.264926422942,1800.2222796218011,1810.0597052979658,1797.6944947160812,1798.7050916603678]",1798.7050916603678,,,256.0,75.0,2400.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/intersection/selected/grain2/sparse17,1,5,"[557.09191000477,558.2926440084236,557.0161161639816,556.5134833250979,559.1183979574108]",557.09191000477,"[557.0991702532334,558.2998244747404,560.1580501139143,557.4748683721616,559.1231849343885]",558.2998244747404,,,256.0,16.0,512.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/complete/grain1/all,1,5,"[11753.729096993002,11764.899665552337,11752.257525083709,11750.719063548657,11746.705685622863]",11752.257525083709,"[11753.86287636334,11779.650501306982,11752.376254041998,11750.854515035177,11746.841136966797]",11752.376254041998,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/complete/grain1/masked25,1,5,"[3528.463476071541,3521.017632242438,3521.2947103295282,3519.0881612111275,3519.0579345083747]",3521.017632242438,"[3532.2523929949343,3521.0584382750467,3521.34005036576,3519.133501215143,3519.103274605459]",3521.0584382750467,,,256.0,75.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/complete/grain1/sparse17,1,5,"[839.0462565563678,834.6828803052614,833.8412017166227,837.3259418218511,836.2637100615557]",836.2637100615557,"[839.0559131769141,834.6924177709761,833.8507391382884,837.3344063061968,836.2744396744831]",836.2744396744831,,,256.0,16.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/complete/grain2/all,1,5,"[9458.994565218456,9469.42934782166,9469.67391303998,9465.842391302413,9465.448369569296]",9465.842391302413,"[9459.116847789,9485.626358819782,9469.782608932846,9465.951086934618,9465.557065655246]",9465.951086934618,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/complete/grain2/masked25,1,5,"[2811.8302493986293,2807.1882542217177,2808.6846339490958,2810.7683024967123,2809.372485919883]",2809.372485919883,"[2811.8664520797793,2807.2204344907154,2808.7208366073796,2813.785599312973,2809.404666137433]",2809.404666137433,,,256.0,75.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/complete/grain2/sparse17,1,5,"[873.3420626008617,871.9416386080493,870.8978675647516,868.3140042399015,869.6258885151934]",870.8978675647516,"[873.352038898213,871.9516149142613,871.9915201710078,868.3252275428553,869.6358648125447]",871.9516149142613,,,256.0,16.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/selected/grain1/all,1,5,"[11711.702838063247,11705.141903174566,11711.235392317254,11700.434056753942,11709.015025044537]",11709.015025044537,"[11711.83806359834,11705.293822561302,11711.385643126636,11700.56928227717,11709.14858148034]",11709.14858148034,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/selected/grain1/masked25,1,5,"[3462.998515585636,3462.0089064837307,3458.530430478721,3458.1048985637767,3454.7600197918837]",3458.530430478721,"[3481.5690252573045,3462.053438738903,3458.5700148532037,3458.1499257307732,3454.799603987061]",3458.5700148532037,,,256.0,75.0,2400.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/selected/grain1/sparse17,1,5,"[769.7341827767251,770.6425746926019,771.0160369066946,770.0252636209802,769.798989455007]",770.0252636209802,"[769.7440685365789,770.6525702767318,771.0248242903253,770.0351493488347,769.8088752289093]",770.0351493488347,,,256.0,16.0,512.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/selected/grain2/all,1,5,"[9536.371077754093,9526.56207367368,9529.563437926461,9523.260572989806,9518.785811732805]",9526.56207367368,"[9556.343792949012,9526.684856185442,9529.686220961677,9523.396998716971,9518.896317035455]",9526.684856185442,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/selected/grain2/masked25,1,5,"[2798.3133012827902,2802.7203525651016,2800.124198717646,2809.835737179944,2803.197115385208]",2802.7203525651016,"[2798.3493590492494,2805.7856570084227,2800.1606571009665,2809.8717947955265,2804.800080123361]",2804.800080123361,,,256.0,75.0,2400.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/direct_direct/union/selected/grain2/sparse17,1,5,"[780.6423455677999,781.7043419879784,780.9691136967186,782.2717099370795,784.527752909133]",781.7043419879784,"[780.6512981502333,782.3310205668979,780.9792972467329,782.2818934513123,784.5368173750124]",782.2818934513123,,,256.0,16.0,512.0,1024.0,1024.0,,,,,,,,,,
zen5,algebra/census-income/plain_plain/intersection/complete/grain1/all,1,5,"[365.50249687903306,358.9632750730121,385.2013108614517,372.17176446120845,370.98730753231433]",370.98730753231433,"[365.50619018067385,359.17238867354024,385.2057844379986,372.17550976656435,370.99209320544367]",370.99209320544367,,,256.0,256.0,8192.0,0.0,0.0,,,,,,,,,,
