input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:original_blocks,counter:selected_blocks,counter:issued_output_bytes,counter:left_metadata_bytes,counter:right_metadata_bytes,counter:raw_allocation_bytes,counter:metadata_bytes,counter:readable_suffix_bytes,counter:predicted_allocation_bytes,counter:actual_allocation_bytes,counter:body_mae_bytes,counter:wrong_byte_choice_fraction,counter:storage_regret_bytes,counter:max_storage_regret_bytes,counter:output_body_bytes
neoverse-v2,algebra/census-income/direct_direct/intersection/complete/grain1/all,1,5,"[15171.420824289264,15157.522776580678,15150.049891538647,15146.861171363298,15219.505422997416]",15157.522776580678,"[15170.906724116852,15157.021692426031,15149.592190996444,15146.433839448446,15250.34273317015]",15157.021692426031,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/complete/grain1/masked25,1,5,"[4312.6274630514345,4317.067118223665,4316.34667487993,4309.185960594584,4318.001231524879]",4316.34667487993,"[4312.49692114246,4316.929187042137,4316.212438293114,4309.0486453451,4317.870689629031]",4316.212438293114,,,256.0,75.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/complete/grain1/sparse17,1,5,"[1192.22714016072,1188.1710413446822,1188.8277577632946,1186.9722079263352,1188.7683993827477]",1188.7683993827477,"[1192.1871675435973,1188.1353576471345,1188.7958483336963,1186.9310344554196,1188.7291130482452]",1188.7291130482452,,,256.0,16.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/complete/grain2/all,1,5,"[15431.481236205058,15426.395143492504,15427.165562911714,15427.947019867272,15427.50551875836]",15427.50551875836,"[15430.973510254495,15425.827815099752,15426.629139159595,15427.498896170673,15426.955850536702]",15426.955850536702,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/complete/grain2/masked25,1,5,"[4426.676154330949,4423.896268184388,4422.485135991915,4421.61416825207,4424.130929790157]",4423.896268184388,"[4431.449082798192,4423.74826057302,4422.306767846726,4421.464895600483,4423.9683746859155]",4423.74826057302,,,256.0,75.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/complete/grain2/sparse17,1,5,"[1227.899350078765,1223.6044264893594,1224.3867907949873,1224.2165817666255,1225.3198665030648]",1224.3867907949873,"[1229.4307043679194,1223.5759704147727,1224.3428771795768,1224.1698576744968,1225.2771824910321]",1224.3428771795768,,,256.0,16.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/selected/grain1/all,1,5,"[15271.252173916324,15293.606521730706,15270.880434778303,15262.560869559919,15271.145652176103]",15271.145652176103,"[15270.763043665045,15312.545651400085,15270.547826572589,15262.054348172765,15270.636957053362]",15270.636957053362,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/selected/grain1/masked25,1,5,"[4313.5009253556,4310.433066012108,4313.554595931569,4306.376927825524,4314.183837135779]",4313.5009253556,"[4313.348550171638,4310.3127699127535,4313.469463312265,4306.267118942446,4314.052436792023]",4313.348550171638,,,256.0,75.0,2400.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/selected/grain1/sparse17,1,5,"[1168.8714529915494,1171.6950427355603,1168.9119658123777,1164.2328205129293,1173.4076923084137]",1168.9119658123777,"[1168.8283760503332,1172.9753845833734,1168.8801709962531,1169.292307665281,1173.3859828848672]",1169.292307665281,,,256.0,16.0,512.0,1024.0,1024.0,,,,,,,,,,
neoverse-v2,algebra/census-income/direct_direct/intersection/selected/grain2/all,1,5,"[15814.009049771106,15803.332579175618,15828.613122180008,15806.28959274577,15810.65384615491]",15810.65384615491,"[15820.076923238743,15802.787330189385,15848.624435128599,15805.886877844625,15810.095022378315]",15810.095022378315,,,256.0,256.0,8192.0,1024.0,1024.0,,,,,,,,,,
